,bank,city,count
0, Allied Bank,Karachi,32
1, Bank Alfalah,Karachi,68
2, BankIslami,Karachi,25
3, BOP,Karachi,2
4, Faysal Bank,Karachi,292
5, HBL,Karachi,266
6, JS Bank,Karachi,16
7, MCB,Karachi,4
8, Meezan Bank,Karachi,39
9, Soneri Bank,Karachi,76
10, Standard Chartered,Karachi,53
11, UBL Bank,Karachi,117
12, Allied Bank,Lahore,48
13, Bank Alfalah,Lahore,41
14, BankIslami,Lahore,3
15, BOP,Lahore,12
16, Faysal Bank,Lahore,181
17, HBL,Lahore,150
18, JS Bank,Lahore,8
19, MCB,Lahore,8
20, Meezan Bank,Lahore,25
21, Soneri Bank,Lahore,17
22, Standard Chartered,Lahore,28
23, UBL Bank,Lahore,81
24, Allied Bank,Islamabad,19
25, Bank Alfalah,Islamabad,31
26, BankIslami,Islamabad,5
27, BOP,Islamabad,5
28, Faysal Bank,Islamabad,117
29, HBL,Islamabad,128
30, JS Bank,Islamabad,9
31, MCB,Islamabad,3
32, Meezan Bank,Islamabad,21
33, Soneri Bank,Islamabad,10
34, Standard Chartered,Islamabad,22
35, UBL Bank,Islamabad,49
36, Allied Bank,Rawalpindi,6
37, Bank Alfalah,Rawalpindi,4
38, BankIslami,Rawalpindi,3
39, BOP,Rawalpindi,1
40, Faysal Bank,Rawalpindi,80
41, HBL,Rawalpindi,36
42, JS Bank,Rawalpindi,2
43, MCB,Rawalpindi,3
44, Meezan Bank,Rawalpindi,20
45, Soneri Bank,Rawalpindi,4
46, Standard Chartered,Rawalpindi,5
47, UBL Bank,Rawalpindi,24
48, Allied Bank,Faisalabad,8
49, Bank Alfalah,Faisalabad,4
50, BankIslami,Faisalabad,2
51, BOP,Faisalabad,3
52, Faysal Bank,Faisalabad,82
53, HBL,Faisalabad,34
54, JS Bank,Faisalabad,1
55, MCB,Faisalabad,3
56, Meezan Bank,Faisalabad,17
57, Soneri Bank,Faisalabad,4
58, Standard Chartered,Faisalabad,4
59, UBL Bank,Faisalabad,30
